# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.69
2                       3.61
4                       7.22
8                      14.51
16                     29.11
32                     58.16
64                    107.92
128                   214.27
256                   424.89
512                   828.82
1024                 1544.18
2048                 2575.70
4096                 4374.22
8192                 7122.29
16384                8516.27
32768               10052.46
65536               10975.67
131072              13588.67
262144              13773.69
524288              13981.69
1048576             23663.44
2097152             23950.58
4194304             24213.48
