# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.46
1                       7.49
2                       7.48
4                       7.48
8                       7.78
16                      7.78
32                      7.79
64                      7.90
128                     7.92
256                     7.93
512                     7.97
1024                    8.07
2048                    8.33
4096                    8.73
8192                    9.58
16384                  10.15
32768                  11.44
65536                  13.92
131072                 33.93
262144                 43.90
524288                 80.52
1048576                77.92
2097152               156.01
4194304               240.07
