# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.76
2                       3.64
4                       7.30
8                      14.84
16                     29.42
32                     58.99
64                    109.15
128                   217.16
256                   431.93
512                   834.87
1024                 1542.65
2048                 2603.72
4096                 4457.02
8192                 7190.60
16384                8426.52
32768                9961.52
65536               11625.21
131072              13601.15
262144              13753.87
524288              13969.75
1048576             23674.47
2097152             23945.98
4194304             24172.35
