
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.41
8                      32.25
16                     31.92
32                     32.31
64                     32.66
128                    32.60
256                    33.45
512                    34.06
1024                   34.94
2048                   36.83
4096                   62.62
8192                   86.86
16384                 108.85
32768                 148.08
65536                 229.22
131072                452.11
262144                250.09
524288                398.57
1048576               703.76
