
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      83.09
8                      83.51
16                     84.02
32                     84.61
64                     84.14
128                    84.54
256                    86.03
512                    87.35
1024                   88.74
2048                   93.70
4096                  103.12
8192                  131.16
16384                 150.71
32768                 207.13
65536                 252.62
131072                606.82
262144                289.69
524288                466.50
1048576               772.52
