# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.72
2                       3.61
4                       7.27
8                      14.59
16                     29.11
32                     58.83
64                    108.45
128                   214.77
256                   425.40
512                   829.57
1024                 1544.00
2048                 2589.29
4096                 4402.42
8192                 7161.15
16384                8485.96
32768               10279.44
65536               12044.15
131072              13613.47
262144              13807.54
524288              13933.50
1048576             23662.72
2097152             23985.92
4194304             24200.16
