
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      31.81
8                      32.74
16                     32.07
32                     32.09
64                     32.21
128                    32.55
256                    33.25
512                    33.80
1024                   34.99
2048                   36.89
4096                   62.63
8192                   87.21
16384                 109.85
32768                 148.65
65536                 229.13
131072                450.32
262144                248.69
524288                401.59
1048576               704.44
