
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      88.75
8                      88.57
16                     88.60
32                     88.55
64                     89.13
128                    90.08
256                    91.81
512                    92.43
1024                   94.76
2048                   97.64
4096                  134.10
8192                  135.07
16384                 141.72
32768                 153.03
65536                 171.80
131072                228.69
262144                313.32
524288                498.91
1048576               830.34
