
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.22
8                      32.15
16                     32.12
32                     32.21
64                     32.41
128                    33.16
256                    33.45
512                    33.92
1024                   34.96
2048                   36.86
4096                   62.58
8192                   86.66
16384                 108.63
32768                 148.99
65536                 229.63
131072                447.02
262144                249.32
524288                398.13
1048576               703.58
