# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.72
2                       3.61
4                       7.34
8                      14.70
16                     29.38
32                     59.19
64                    108.23
128                   215.48
256                   427.72
512                   835.66
1024                 1541.13
2048                 2597.17
4096                 4347.25
8192                 7295.58
16384                8636.78
32768               10100.95
65536               10813.23
131072              13570.93
262144              13797.49
524288              13977.46
1048576             23655.17
2097152             23967.72
4194304             24199.55
