
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     110.90
8                     112.89
16                    121.53
32                    115.21
64                    120.16
128                   119.86
256                   127.95
512                   137.53
1024                  121.40
2048                   98.87
4096                  156.63
8192                  204.14
16384                 196.90
32768                 232.49
65536                 255.39
131072                276.58
262144                364.52
524288                561.89
1048576               903.23
