
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.09
8                      31.98
16                     32.08
32                     32.08
64                     32.18
128                    32.54
256                    33.67
512                    34.01
1024                   35.04
2048                   37.35
4096                   62.70
8192                   87.47
16384                 108.89
32768                 148.96
65536                 231.32
131072                450.38
262144                252.45
524288                399.95
1048576               705.08
