# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.72
2                       3.64
4                       7.16
8                      14.84
16                     29.86
32                     59.21
64                    108.12
128                   215.76
256                   427.58
512                   832.78
1024                 1543.08
2048                 2596.89
4096                 4325.25
8192                 7192.79
16384                8457.73
32768                9971.59
65536               10965.56
131072              13598.85
262144              13766.68
524288              13905.81
1048576             23694.80
2097152             23979.34
4194304             24197.10
