
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      83.06
8                      83.67
16                     83.91
32                     83.48
64                     84.92
128                    84.73
256                    86.25
512                    87.45
1024                   89.17
2048                   92.41
4096                  102.97
8192                  130.64
16384                 150.37
32768                 206.87
65536                 253.37
131072                606.05
262144                292.33
524288                465.38
1048576               775.23
