
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      82.69
8                      83.47
16                     83.65
32                     83.89
64                     84.02
128                    84.41
256                    86.09
512                    86.83
1024                   88.41
2048                   92.29
4096                  102.87
8192                  130.31
16384                 150.93
32768                 207.06
65536                 252.86
131072                605.84
262144                290.38
524288                470.12
1048576               776.20
