# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.75
2                       3.59
4                       7.23
8                      14.65
16                     29.34
32                     58.68
64                    107.83
128                   214.61
256                   426.12
512                   833.19
1024                 1548.37
2048                 2589.70
4096                 4431.83
8192                 7130.48
16384                8449.10
32768               10029.49
65536               11367.92
131072              13591.89
262144              13787.72
524288              13993.38
1048576             23745.86
2097152             23957.22
4194304             24198.23
