# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.49
2                       7.48
4                       7.48
8                       7.78
16                      7.79
32                      7.78
64                      7.89
128                     7.92
256                     7.93
512                     7.95
1024                    8.07
2048                    8.34
4096                    8.76
8192                    9.58
16384                  10.17
32768                  11.34
65536                  14.03
131072                 33.97
262144                 44.16
524288                 80.95
1048576                77.75
2097152               156.27
4194304               236.52
