
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      82.79
8                      83.60
16                     83.92
32                     83.96
64                     84.11
128                    84.17
256                    86.12
512                    86.92
1024                   88.71
2048                   92.31
4096                  103.93
8192                  130.80
16384                 151.02
32768                 206.47
65536                 248.80
131072                606.05
262144                291.03
524288                465.53
1048576               776.76
