
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      91.37
8                     104.01
16                    214.66
32                    120.57
64                    158.77
128                   118.20
256                   110.43
512                   132.86
1024                  272.08
2048                  211.00
4096                  136.13
8192                  143.10
16384                 168.61
32768                 429.73
65536                 177.60
131072                225.90
262144                329.33
524288                497.67
1048576               856.44
