# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.46
1                       7.49
2                       7.48
4                       7.48
8                       7.79
16                      7.77
32                      7.79
64                      7.92
128                     7.91
256                     7.94
512                     7.96
1024                    8.07
2048                    8.33
4096                    8.73
8192                    9.54
16384                  10.15
32768                  11.42
65536                  14.05
131072                 34.01
262144                 43.96
524288                 80.61
1048576                77.86
2097152               155.69
4194304               239.39
