
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      84.29
8                      84.14
16                     85.11
32                     85.29
64                     84.54
128                    84.94
256                    86.71
512                    88.12
1024                   90.08
2048                   92.98
4096                  103.50
8192                  131.08
16384                 151.99
32768                 206.91
65536                 252.76
131072                604.78
262144                293.43
524288                468.14
1048576               781.41
