
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      82.87
8                      83.51
16                     83.65
32                     83.77
64                     84.68
128                    85.19
256                    86.45
512                    86.90
1024                   88.58
2048                   92.94
4096                  103.12
8192                  131.24
16384                 150.24
32768                 206.12
65536                 254.93
131072                604.71
262144                289.03
524288                469.93
1048576               774.12
