
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      88.67
8                      89.36
16                     90.10
32                     88.66
64                     90.95
128                    90.31
256                    92.74
512                    94.66
1024                   94.78
2048                   97.75
4096                  134.61
8192                  136.20
16384                 142.36
32768                 154.31
65536                 170.94
131072                227.49
262144                316.93
524288                496.23
1048576               838.42
