# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.67
2                       3.61
4                       7.31
8                      14.60
16                     29.51
32                     58.67
64                    108.27
128                   217.64
256                   427.60
512                   839.12
1024                 1557.04
2048                 2608.20
4096                 4504.01
8192                 7305.63
16384                8490.96
32768                9959.72
65536               10874.70
131072              13658.42
262144              13944.23
524288              14044.42
1048576             23676.51
2097152             23962.12
4194304             24201.39
