
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.29
8                      32.20
16                     32.19
32                     32.05
64                     32.37
128                    32.76
256                    33.57
512                    33.91
1024                   35.24
2048                   37.23
4096                   62.45
8192                   87.58
16384                 110.10
32768                 149.80
65536                 231.56
131072                452.38
262144                251.33
524288                405.54
1048576               707.15
