
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      88.47
8                      88.99
16                     89.13
32                     89.43
64                     89.42
128                    89.61
256                    91.93
512                    92.99
1024                   94.99
2048                   99.03
4096                  133.26
8192                  134.88
16384                 143.10
32768                 152.85
65536                 170.48
131072                227.59
262144                313.87
524288                492.56
1048576               860.97
