# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.73
2                       3.64
4                       7.35
8                      14.71
16                     29.64
32                     59.17
64                    108.94
128                   216.98
256                   428.10
512                   838.30
1024                 1540.31
2048                 2613.17
4096                 4376.00
8192                 7329.28
16384                8556.26
32768               10065.47
65536               11327.67
131072              13598.19
262144              13732.91
524288              13895.24
1048576             23745.50
2097152             23992.62
4194304             24206.38
