
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.29
8                      32.08
16                     32.46
32                     32.92
64                     32.28
128                    32.75
256                    33.89
512                    33.89
1024                   35.02
2048                   37.01
4096                   62.40
8192                   87.33
16384                 108.60
32768                 148.64
65536                 229.87
131072                446.71
262144                247.56
524288                401.16
1048576               702.76
