
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      83.72
8                      83.71
16                     83.91
32                     83.79
64                     84.77
128                    84.66
256                    86.51
512                    87.34
1024                   88.70
2048                   92.67
4096                  103.00
8192                  131.41
16384                 150.29
32768                 206.10
65536                 252.58
131072                606.79
262144                290.67
524288                465.13
1048576               776.30
