# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.70
2                       3.57
4                       7.31
8                      14.67
16                     29.27
32                     58.36
64                    108.56
128                   215.92
256                   424.67
512                   836.79
1024                 1554.13
2048                 2603.88
4096                 4439.45
8192                 7198.18
16384                8507.21
32768               10120.71
65536               10995.49
131072              13631.50
262144              13795.13
524288              13989.54
1048576             23729.11
2097152             23982.46
4194304             24219.45
