
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     100.62
8                     101.09
16                    102.22
32                    101.35
64                    102.21
128                   102.34
256                   106.76
512                   106.79
1024                  106.97
2048                   94.44
4096                  152.75
8192                  187.52
16384                 185.84
32768                 198.32
65536                 217.14
131072                273.54
262144                359.21
524288                568.30
1048576               884.59
