
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     101.49
8                      95.21
16                     89.07
32                     90.68
64                     91.93
128                    90.05
256                    97.10
512                   106.14
1024                  101.96
2048                   98.55
4096                  147.65
8192                  139.92
16384                 151.46
32768                 178.21
65536                 170.38
131072                228.35
262144                321.48
524288                494.00
1048576               834.84
