# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.49
2                       7.47
4                       7.48
8                       7.79
16                      7.78
32                      7.78
64                      7.90
128                     7.91
256                     7.93
512                     7.96
1024                    8.07
2048                    8.34
4096                    8.78
8192                    9.60
16384                  10.16
32768                  11.40
65536                  13.98
131072                 33.99
262144                 44.16
524288                 81.10
1048576                77.67
2097152               157.19
4194304               239.95
