# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.71
2                       3.61
4                       7.31
8                      14.70
16                     29.76
32                     59.00
64                    108.40
128                   216.89
256                   428.68
512                   830.67
1024                 1545.16
2048                 2601.59
4096                 4371.71
8192                 7184.12
16384                8480.36
32768                9974.49
65536               11425.54
131072              13604.69
262144              13796.62
524288              13964.83
1048576             23706.86
2097152             23998.94
4194304             24210.81
