# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.46
1                       7.48
2                       7.46
4                       7.47
8                       7.76
16                      7.78
32                      7.79
64                      7.88
128                     7.90
256                     7.91
512                     7.94
1024                    8.04
2048                    8.32
4096                    8.74
8192                    9.56
16384                  10.14
32768                  11.38
65536                  14.06
131072                 33.86
262144                 43.98
524288                 80.61
1048576                77.80
2097152               155.61
4194304               239.88
