# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.70
2                       3.60
4                       7.31
8                      14.58
16                     29.17
32                     58.32
64                    108.91
128                   214.87
256                   426.55
512                   836.63
1024                 1537.02
2048                 2599.89
4096                 4312.81
8192                 7220.89
16384                8499.76
32768               10075.52
65536               10703.51
131072              13619.22
262144              13728.37
524288              13876.14
1048576             23705.91
2097152             23957.41
4194304             24194.37
