
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     100.13
8                     100.89
16                    103.18
32                    101.19
64                    102.00
128                   102.10
256                   104.98
512                   105.52
1024                  110.45
2048                   94.36
4096                  152.74
8192                  188.58
16384                 188.74
32768                 198.33
65536                 217.51
131072                278.52
262144                363.75
524288                542.60
1048576               876.52
