# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.44
1                       7.49
2                       7.47
4                       7.47
8                       7.77
16                      7.77
32                      7.77
64                      7.89
128                     7.89
256                     7.91
512                     7.95
1024                    8.06
2048                    8.32
4096                    8.73
8192                    9.52
16384                  10.10
32768                  11.30
65536                  13.89
131072                 33.94
262144                 44.04
524288                 80.93
1048576                78.03
2097152               156.53
4194304               241.06
