
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     103.76
8                     104.05
16                    104.15
32                    104.02
64                    104.93
128                   105.01
256                   107.27
512                   110.84
1024                  110.49
2048                  113.94
4096                  138.04
8192                  139.48
16384                 147.38
32768                 157.19
65536                 176.29
131072                226.78
262144                315.22
524288                498.73
1048576               836.54
