# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.72
2                       3.54
4                       7.34
8                      14.68
16                     29.04
32                     58.72
64                    106.66
128                   213.08
256                   423.38
512                   833.00
1024                 1539.42
2048                 2568.28
4096                 4327.03
8192                 7232.82
16384                8346.43
32768                9890.35
65536               10937.76
131072              13588.39
262144              13797.51
524288              13904.18
1048576             23707.82
2097152             23970.58
4194304             24200.68
