
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      83.47
8                      83.77
16                     84.69
32                     83.72
64                     85.53
128                    84.52
256                    86.37
512                    86.85
1024                   89.60
2048                   92.95
4096                  103.37
8192                  130.83
16384                 150.58
32768                 207.72
65536                 257.81
131072                606.87
262144                292.44
524288                469.19
1048576               777.40
