
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      88.53
8                      89.08
16                     89.52
32                     89.01
64                     89.16
128                    89.37
256                    91.78
512                    92.58
1024                   94.67
2048                   98.01
4096                  133.32
8192                  136.64
16384                 142.04
32768                 152.52
65536                 171.94
131072                228.04
262144                315.12
524288                492.61
1048576               830.23
