# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.45
1                       7.48
2                       7.47
4                       7.47
8                       7.77
16                      7.77
32                      7.78
64                      7.89
128                     7.91
256                     7.92
512                     7.96
1024                    8.05
2048                    8.33
4096                    8.71
8192                    9.55
16384                  10.17
32768                  11.43
65536                  13.93
131072                 33.97
262144                 43.91
524288                 80.59
1048576                77.86
2097152               156.51
4194304               240.27
