# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.46
1                       7.49
2                       7.47
4                       7.48
8                       7.79
16                      7.79
32                      7.79
64                      7.91
128                     7.91
256                     7.92
512                     7.96
1024                    8.06
2048                    8.33
4096                    8.77
8192                    9.59
16384                  10.18
32768                  11.46
65536                  13.97
131072                 33.97
262144                 44.07
524288                 80.75
1048576                77.91
2097152               156.65
4194304               239.39
