# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.44
1                       7.46
2                       7.45
4                       7.46
8                       7.76
16                      7.76
32                      7.76
64                      7.87
128                     7.88
256                     7.89
512                     7.93
1024                    8.02
2048                    8.35
4096                    8.79
8192                    9.56
16384                  10.17
32768                  11.42
65536                  13.94
131072                 33.99
262144                 44.24
524288                 80.81
1048576                78.04
2097152               156.35
4194304               239.75
