
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      88.98
8                      88.84
16                     91.74
32                     88.59
64                     89.35
128                    90.06
256                    91.98
512                    92.41
1024                   94.72
2048                   97.99
4096                  133.84
8192                  135.78
16384                 141.78
32768                 152.87
65536                 174.67
131072                229.11
262144                314.30
524288                499.43
1048576               841.80
