# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.74
2                       3.67
4                       7.37
8                      14.72
16                     29.56
32                     58.75
64                    109.03
128                   216.63
256                   428.07
512                   836.95
1024                 1545.06
2048                 2612.75
4096                 4373.67
8192                 7260.62
16384                8715.28
32768               10154.05
65536               11344.61
131072              13641.17
262144              13816.44
524288              13952.88
1048576             23667.49
2097152             23956.72
4194304             24199.53
