
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      83.16
8                      83.76
16                     83.70
32                     83.55
64                     84.58
128                    85.06
256                    86.23
512                    87.28
1024                   88.89
2048                   92.53
4096                  103.46
8192                  131.31
16384                 150.31
32768                 206.31
65536                 251.64
131072                604.07
262144                295.25
524288                469.49
1048576               779.25
