
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     102.52
8                     100.73
16                    100.75
32                    101.78
64                    103.07
128                   102.66
256                   103.48
512                   104.72
1024                  108.40
2048                   94.79
4096                  152.63
8192                  186.46
16384                 188.87
32768                 197.85
65536                 216.15
131072                272.77
262144                357.32
524288                535.67
1048576               872.78
