
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      31.99
8                      32.25
16                     32.41
32                     32.72
64                     32.19
128                    32.51
256                    33.60
512                    33.90
1024                   35.00
2048                   37.10
4096                   62.84
8192                   86.76
16384                 108.57
32768                 148.10
65536                 230.23
131072                451.82
262144                249.13
524288                402.83
1048576               707.06
