# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.73
2                       3.62
4                       7.27
8                      14.72
16                     29.40
32                     58.73
64                    108.55
128                   216.23
256                   427.58
512                   834.79
1024                 1536.11
2048                 2585.12
4096                 4403.87
8192                 7210.95
16384                8545.76
32768               10070.41
65536               11318.54
131072              13655.59
262144              13867.52
524288              13929.65
1048576             23720.34
2097152             23980.40
4194304             24205.04
