
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      82.93
8                      84.16
16                     83.83
32                     83.74
64                     84.27
128                    90.45
256                    86.21
512                    87.37
1024                   88.69
2048                   93.07
4096                  102.90
8192                  130.79
16384                 150.39
32768                 207.00
65536                 254.98
131072                605.99
262144                291.46
524288                466.55
1048576               774.91
