# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.46
1                       7.49
2                       7.47
4                       7.48
8                       7.78
16                      7.78
32                      7.78
64                      7.89
128                     7.91
256                     7.92
512                     7.96
1024                    8.07
2048                    8.33
4096                    8.74
8192                    9.59
16384                  10.18
32768                  11.32
65536                  14.01
131072                 33.93
262144                 44.07
524288                 80.74
1048576                77.90
2097152               156.35
4194304               238.90
