# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.50
2                       7.50
4                       7.49
8                       7.79
16                      7.79
32                      7.80
64                      7.90
128                     7.92
256                     7.94
512                     7.98
1024                    8.07
2048                    8.34
4096                    8.76
8192                    9.58
16384                  10.16
32768                  11.40
65536                  13.95
131072                 33.91
262144                 43.99
524288                 80.73
1048576                78.22
2097152               156.47
4194304               238.70
