
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     100.66
8                     101.54
16                    101.63
32                    101.87
64                    102.60
128                   102.39
256                   104.24
512                   104.97
1024                  109.11
2048                   94.88
4096                  153.68
8192                  186.38
16384                 187.94
32768                 198.54
65536                 222.66
131072                270.82
262144                357.50
524288                531.80
1048576               874.60
