
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.11
8                      32.14
16                     32.16
32                     32.15
64                     32.39
128                    33.07
256                    33.51
512                    34.00
1024                   35.64
2048                   36.81
4096                   62.69
8192                   87.17
16384                 109.31
32768                 149.32
65536                 235.28
131072                451.22
262144                249.66
524288                400.59
1048576               708.72
