
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.26
8                      32.44
16                     32.12
32                     32.45
64                     32.37
128                    32.62
256                    33.46
512                    34.02
1024                   35.09
2048                   36.99
4096                   62.40
8192                   87.50
16384                 109.19
32768                 148.63
65536                 229.21
131072                449.46
262144                248.69
524288                401.90
1048576               700.60
