
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      31.98
8                      32.48
16                     32.17
32                     32.07
64                     32.50
128                    33.11
256                    33.30
512                    33.90
1024                   35.13
2048                   36.93
4096                   62.52
8192                   87.22
16384                 109.59
32768                 149.29
65536                 229.97
131072                454.23
262144                247.93
524288                401.60
1048576               703.14
