
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      88.36
8                      88.78
16                     88.96
32                     89.31
64                     89.18
128                    91.57
256                    91.84
512                    92.22
1024                   94.91
2048                  100.65
4096                  133.21
8192                  135.19
16384                 142.17
32768                 152.91
65536                 170.77
131072                229.53
262144                314.59
524288                492.19
1048576               829.57
