
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.01
8                      32.08
16                     32.44
32                     32.25
64                     32.21
128                    32.67
256                    33.47
512                    33.98
1024                   34.97
2048                   36.83
4096                   62.63
8192                   86.97
16384                 109.41
32768                 149.56
65536                 230.25
131072                446.96
262144                248.57
524288                402.57
1048576               704.01
