# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.74
2                       3.62
4                       7.37
8                      14.85
16                     29.42
32                     59.43
64                    108.86
128                   217.31
256                   429.93
512                   836.37
1024                 1544.15
2048                 2603.92
4096                 4393.94
8192                 7274.33
16384                8522.78
32768               10299.22
65536               11380.01
131072              13646.72
262144              13775.32
524288              13957.85
1048576             23652.69
2097152             23939.68
4194304             24207.74
