
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      83.31
8                      83.50
16                     84.17
32                     83.53
64                     84.14
128                    84.27
256                    86.33
512                    87.11
1024                   89.15
2048                   92.58
4096                  103.21
8192                  130.24
16384                 150.73
32768                 206.58
65536                 255.24
131072                608.74
262144                289.93
524288                465.55
1048576               777.51
